qt_d1sbqsiftd,qt_e1sbqsiftd,qt_3iyhzvnitd,qt_xd6evd8dtd
02-5009911,"שד' משה דיין  166, ירושלים",יהב,בנקים 🔵
02-5009911,"הלל וחנן אופנהיימר  2, רחובות",יהב,בנקים 🔵
02-5009911,"כנפי נשרים  62, ירושלים",יהב,בנקים 🔵
02-5009911,"מעלה כמון  5, כרמיאל",יהב,בנקים 🔵
02-5009911,"שארית ישראל  35, תל אביב -יפו",יהב,בנקים 🔵
02-5009911,"הערבה  7, אילת",יהב,בנקים 🔵
02-5009911,"הארבעה  19, תל אביב -יפו",יהב,בנקים 🔵
02-5009911,"דרך בן גוריון  10, רמת גן",יהב,בנקים 🔵
02-5005245,"יפו  216, ירושלים",הפועלים,בנקים 🔵
02-29917587,"בית שמש, דרך רבין יצחק 2",מכבי,מרפאות 🟠
02-26238238,"ירושלים, אגריפס 40",מכבי,מרפאות 🟠
02-25940444,"ירושלים, תורן חיים 45",מכבי,מרפאות 🟠
02-25060500,"בית שמש, יחזקאל הנביא 22",מכבי,מרפאות 🟠
*5727,"אגרון  30, ירושלים",ירושלים,בנקים 🔵
*5400,"השלוח 35, חיפה",משרד הבריאות,טיפות חלב 🔴
*5400,"כנרת 29, אשדוד",משרד הבריאות,טיפות חלב 🔴
*5400,"הרב משורר ישעיהו 8, פתח תקווה",משרד הבריאות,טיפות חלב 🔴
*5400,"נחל לכיש 32, בית שמש",משרד הבריאות,טיפות חלב 🔴
*5400,"יהודה 6, באר יעקב",משרד הבריאות,טיפות חלב 🔴
*5400,"הצפצפה 2, מעלה אדומים",משרד הבריאות,טיפות חלב 🔴
*5400,"שמאי 5, אשדוד",משרד הבריאות,טיפות חלב 🔴
*3555,"נחל הצבי 120, מגדל העמק",מכבי,טיפות חלב 🔴
*3450,אליהו קורן 25,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,דרך שלמה (סלמה) 53 תל אביב-יפו,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,הרצל 91 רמלה,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,הסדן 8 חולון,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,דרך המכבים 72 ראשון לציון,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,"קריית הממשלה 2 נוף הגליל (נצרת עילית), קריית הממשלה",לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,שדרות בן צבי 18 נתניה,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,מורד הגיא 100 כרמיאל,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,שדרות החוצבים 6 מבשרת ציון,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*3450,התקווה 4 באר שבע,לשכת רשות האוכלוסין וההגירה,לשכת רשות האוכלוסין 🟤
*2714,"הרצל  179, רחובות",הפועלים,בנקים 🔵
*2714,"שד' יצחק רבין  20, עפולה",הפועלים,בנקים 🔵
*2714,"הנביאים  18, חיפה",הפועלים,בנקים 🔵
*2714,"ככר העצמאות  11, נתניה",הפועלים,בנקים 🔵
*2714,"המלך ג'ורג'  16, ירושלים",הפועלים,בנקים 🔵
*2714,"הרברט סמואל  85, חדרה",הפועלים,בנקים 🔵
*2714,"שד' חן  4, הרצלייה",הפועלים,בנקים 🔵
*2714,"העצמאות  40, באר שבע",הפועלים,בנקים 🔵
*2714,"חובבי ציון  1, פתח תקווה",הפועלים,בנקים 🔵
*2714,"רוטשילד  78, ראשון לציון",הפועלים,בנקים 🔵
*2714,"דרך יצחק רבין  1, פתח תקווה",הפועלים,בנקים 🔵
*2714,"שבי ציון  9, אשדוד",הפועלים,בנקים 🔵
*2714,"אחימאיר  33, תל אביב -יפו",הפועלים,בנקים 🔵
*2407,"שד' אורנים  10, רמת גן",הפועלים,בנקים 🔵
*2407,"נור אל-דין  8, ירושלים",הפועלים,בנקים 🔵
*2407,"המגינים  56, גן יבנה",הפועלים,בנקים 🔵
*2407,"מרכז מסחרי  0, קיסריה",הפועלים,בנקים 🔵
*2407,"הרצל  42, קריית עקרון",הפועלים,בנקים 🔵
*2407,"שד' אליהו  5, מזכרת בתיה",הפועלים,בנקים 🔵
*2407,"רחוב ראשי  0, אכסאל",הפועלים,בנקים 🔵
*2407,"המייסדים  62, אבן יהודה",הפועלים,בנקים 🔵
*2407,"שונית  12, חיפה",הפועלים,בנקים 🔵
*2407,"דרך ארץ  2, חריש",הפועלים,בנקים 🔵
*2407,"חניתה  40, חיפה",הפועלים,בנקים 🔵
,דרך רמתים 45 הוד השרון,דואר ישראל,סניפי דואר 🟡
,"הרב ניסנבאום   37, בת ים",הפועלים,כספומטים 🟢
,נבון דוד 20 מגשימים,דואר ישראל,סניפי דואר 🟡
,"כפר סבא, ויצמן 300",שופרסל,מרכולים 🟣
,רבי עקיבא 75 בני ברק,דואר ישראל,סניפי דואר 🟡
,"אבן גבירול  71, תל אביב -יפו",לאומי,כספומטים 🟢
,"נשר, דרך בר יהודה 147",שופרסל,מרכולים 🟣
,הגולן 49 נמל תעופה בן גוריון,דואר ישראל,סניפי דואר 🟡
,"הארבעה  19, תל אביב -יפו",לאומי,כספומטים 🟢
,מושביץ 3 ראשון לציון,דואר ישראל,סניפי דואר 🟡
,זולא אמיל 39 פתח תקווה,דואר ישראל,סניפי דואר 🟡
,"שדרות הר ציון  106, תל אביב -יפו",לאומי,כספומטים 🟢
,"פנקס  48, תל אביב -יפו",לאומי,כספומטים 🟢
,הרצל 94 ראשון לציון,דואר ישראל,סניפי דואר 🟡
,"חיפה, שלמה המלך 55",שופרסל דיל,מרכולים 🟣
,"ערד, הקנאים 29",שופרסל,מרכולים 🟣
,"מעלה אדומים, דרך קדם 5",שופרסל,מרכולים 🟣
, ניר צבי,דואר ישראל,סניפי דואר 🟡
,"ברודצקי  43, תל אביב -יפו",לאומי,כספומטים 🟢
,"ירושלים, שח""ל 79",שופרסל,מרכולים 🟣
,קציר 1 רמת גן,דואר ישראל,סניפי דואר 🟡
,"קהילת סלוניקי  7, תל אביב -יפו",לאומי,כספומטים 🟢
,ברנשטיין פרץ 7 רמת גן,דואר ישראל,סניפי דואר 🟡
,160 ג'לג'וליה,דואר ישראל,סניפי דואר 🟡
,"אחימאיר  21, תל אביב -יפו",לאומי,כספומטים 🟢
,"הדקל  52, תל מונד",לאומי,כספומטים 🟢
,"יבנה, דרך הים 3",שופרסל,מרכולים 🟣
,עזרא 11 בני ברק,דואר ישראל,סניפי דואר 🟡
,סעדון אליהו 130 אור יהודה,דואר ישראל,סניפי דואר 🟡
,שפינוזה 2 אזור,דואר ישראל,סניפי דואר 🟡
,"שד' התמרים  1, אילת",דיסקונט,כספומטים 🟢
,שא נס 17 באר יעקב,דואר ישראל,סניפי דואר 🟡
,שד דוד המלך 1 לוד,דואר ישראל,סניפי דואר 🟡
,"הרצל  1, אשדוד",דיסקונט,כספומטים 🟢
,דקל 30 שוהם,דואר ישראל,סניפי דואר 🟡
,שלמה המלך 6 קריית אונו,דואר ישראל,סניפי דואר 🟡
,"חיים משה שפירא  1, אשדוד",דיסקונט,כספומטים 🟢
,"שדרות בן גוריון  15, אשלים",דיסקונט,כספומטים 🟢
,"שדרות ירושלים  119, אשלים",דיסקונט,כספומטים 🟢
,"הנריאטה סולד  8, באר שבע",דיסקונט,כספומטים 🟢
,אמנון ותמר 6 נתניה,דואר ישראל,סניפי דואר 🟡
,המלאכה 2 רעננה,דואר ישראל,סניפי דואר 🟡
,"נתניה, גבורי ישראל 5",שופרסל,מרכולים 🟣
,"חולון, רבינוביץ יהושע 58",שופרסל,מרכולים 🟣
,סוקולוב 68 הרצליה,דואר ישראל,סניפי דואר 🟡
,צמרות 2 הרצליה,דואר ישראל,סניפי דואר 🟡
,התחיה 7 כפר סבא,דואר ישראל,סניפי דואר 🟡
,24 טייבה,דואר ישראל,סניפי דואר 🟡
,הברוש 28 פרדסיה,דואר ישראל,סניפי דואר 🟡
,גולומב 1 נתניה,דואר ישראל,סניפי דואר 🟡
,"שאול המלך  80, באר שבע",דיסקונט,כספומטים 🟢
,מרכז מסחרי כוכב יאיר,דואר ישראל,סניפי דואר 🟡
,ויתקין 53 נתניה,דואר ישראל,סניפי דואר 🟡
,הראשונים 13 פתח תקווה,דואר ישראל,סניפי דואר 🟡
,"יגאל אלון  3, בית שמש",דיסקונט,כספומטים 🟢
,גרין יונה 9 פתח תקווה,דואר ישראל,סניפי דואר 🟡
,"דרך בן גוריון  13, בני ברק",דיסקונט,כספומטים 🟢
,בן דוד יצחק 11 פתח תקווה,דואר ישראל,סניפי דואר 🟡
,"רבי עקיבא  60, בני ברק",דיסקונט,כספומטים 🟢
,"בלפור  51, בת ים",דיסקונט,כספומטים 🟢
,דרך ראשונים 88 רמת השרון,דואר ישראל,סניפי דואר 🟡
,יד חרוצים 11 נתניה,דואר ישראל,סניפי דואר 🟡
,בני בנימין 1 אבן יהודה,דואר ישראל,סניפי דואר 🟡
, בית יצחק-שער חפר,דואר ישראל,סניפי דואר 🟡
,"נעמי שמר  7, בת ים",דיסקונט,כספומטים 🟢
,רחוב ראשי כפר ויתקין,דואר ישראל,סניפי דואר 🟡
,"דניאל  33, בת ים",דיסקונט,כספומטים 🟢
,יחזקאל 1 כפר יונה,דואר ישראל,סניפי דואר 🟡
,"ויצמן  19, גבעתיים",דיסקונט,כספומטים 🟢
,"הבילויים  16, גדרה",דיסקונט,כספומטים 🟢
, כפר קאסם,דואר ישראל,סניפי דואר 🟡
, נווה ירק,דואר ישראל,סניפי דואר 🟡
,המגשימים 20 פתח תקווה,דואר ישראל,סניפי דואר 🟡
,"שד' יגאל אלון  1, דימונה",דיסקונט,כספומטים 🟢
, עינת,דואר ישראל,סניפי דואר 🟡
,אבן רושד קלנסווה,דואר ישראל,סניפי דואר 🟡
,"הבנים  14, הוד השרון",דיסקונט,כספומטים 🟢
, רמת הכובש,דואר ישראל,סניפי דואר 🟡
,"סוקולוב  22, הרצלייה",דיסקונט,כספומטים 🟢
,"קדושי השואה  63, הרצלייה",דיסקונט,כספומטים 🟢
,"הדגן  2, זכרון יעקב",דיסקונט,כספומטים 🟢
, שפיים,דואר ישראל,סניפי דואר 🟡
,הדקל 50 תל מונד,דואר ישראל,סניפי דואר 🟡
,הנביאים 22 חיפה,דואר ישראל,סניפי דואר 🟡
,שד בן גוריון 27 חיפה,דואר ישראל,סניפי דואר 🟡
,השריג 2 בנימינה,דואר ישראל,סניפי דואר 🟡
, עיילבון,דואר ישראל,סניפי דואר 🟡
,לבנה 2 נוף הגליל,דואר ישראל,סניפי דואר 🟡
,"סוקולוב  68, חולון",דיסקונט,כספומטים 🟢
,"פנחס אילון  13, חולון",דיסקונט,כספומטים 🟢
,חורב 15 חיפה,דואר ישראל,סניפי דואר 🟡
, שבלי - אום אל-גנם,דואר ישראל,סניפי דואר 🟡
,בלקיס שעב,דואר ישראל,סניפי דואר 🟡
,"הנחושת  4, חולון",דיסקונט,כספומטים 🟢
,רחוב ראשי מנחמיה,דואר ישראל,סניפי דואר 🟡
,"שדרות הנשיא  124, חיפה",דיסקונט,כספומטים 🟢
,1034 ג'דיידה-מכר,דואר ישראל,סניפי דואר 🟡
,"הנביאים  18, חיפה",דיסקונט,כספומטים 🟢
,"אינשטיין  139, חיפה",דיסקונט,כספומטים 🟢
,מעלה כמון 5 כרמיאל,דואר ישראל,סניפי דואר 🟡
,דליות 6 קצרין,דואר ישראל,סניפי דואר 🟡
,דרך ארץ 59 חריש,דואר ישראל,סניפי דואר 🟡
,הרברט סמואל 54 חדרה,דואר ישראל,סניפי דואר 🟡
,"פל ים  9, חיפה",דיסקונט,כספומטים 🟢
, כפר מנדא,דואר ישראל,סניפי דואר 🟡
,"הגליל  52, טבריה",דיסקונט,כספומטים 🟢
,שד בגין מנחם 80 עפולה,דואר ישראל,סניפי דואר 🟡
,"הירמוך  1, יבנה",דיסקונט,כספומטים 🟢
,"יחזקאל  11, ירושלים",דיסקונט,כספומטים 🟢
,מרכז העיר 1 אום אל-פחם,דואר ישראל,סניפי דואר 🟡
,שכונה צפונית כאוכב אבו אל-היג'א,דואר ישראל,סניפי דואר 🟡
,אסיף 46 כרמיאל,דואר ישראל,סניפי דואר 🟡
,"בורוכוב  74, ירושלים",דיסקונט,כספומטים 🟢
,השמורה 2 זכרון יעקב,דואר ישראל,סניפי דואר 🟡
,שייח חמוד נסראלדין דאלית אל-כרמל,דואר ישראל,סניפי דואר 🟡
,"קרן היסוד  5, ירושלים",דיסקונט,כספומטים 🟢
,הנדיב 17 זכרון יעקב,דואר ישראל,סניפי דואר 🟡
,"סולטן סולימן  19, ירושלים",דיסקונט,כספומטים 🟢
,"בית הכרם  29, ירושלים",דיסקונט,כספומטים 🟢
,"פארן  9, ירושלים",דיסקונט,כספומטים 🟢
, כפר המכבי,דואר ישראל,סניפי דואר 🟡
,רחוב ראשי טמרה,דואר ישראל,סניפי דואר 🟡
,רחוב ראשי נהלל,דואר ישראל,סניפי דואר 🟡
,גיא אוני ראש פינה,דואר ישראל,סניפי דואר 🟡
,תופיק זיאד 3047 נצרת,דואר ישראל,סניפי דואר 🟡
,רחוב ראשי עראבה,דואר ישראל,סניפי דואר 🟡
,רחוב ראשי מזרעה,דואר ישראל,סניפי דואר 🟡
,אלדהראת ערערה,דואר ישראל,סניפי דואר 🟡
,עצמון 16 נוף הגליל,דואר ישראל,סניפי דואר 🟡
,דרך הבנים 1 פרדס חנה-כרכור,דואר ישראל,סניפי דואר 🟡
,דרך השלום 70 נשר,דואר ישראל,סניפי דואר 🟡
,חלמיש 7 קיסריה,דואר ישראל,סניפי דואר 🟡
,הרב קוק 14 מעלות-תרשיחא,דואר ישראל,סניפי דואר 🟡
,"יפו  103, ירושלים",דיסקונט,כספומטים 🟢
,הזית 5 מגדל העמק,דואר ישראל,סניפי דואר 🟡
,אבן סינא 24 מג'ד אל כרום,דואר ישראל,סניפי דואר 🟡
,מלחמת ששת הימים 5 טירת כרמל,דואר ישראל,סניפי דואר 🟡
,1693000 כפר כנא,דואר ישראל,סניפי דואר 🟡
,"האומן  17, ירושלים",דיסקונט,כספומטים 🟢
,"שד' יצחק רבין  10, ירושלים",דיסקונט,כספומטים 🟢
,המיסדים 1 קריית אתא,דואר ישראל,סניפי דואר 🟡
,שד ירושלים 15 קריית ביאליק,דואר ישראל,סניפי דואר 🟡
,"אח""י אילת 13 קריית חיים",דואר ישראל,סניפי דואר 🟡
,ארן זלמן 56 קריית חיים,דואר ישראל,סניפי דואר 🟡
,שיח מחמוד אלאסדי 9 דייר אל-אסד,דואר ישראל,סניפי דואר 🟡
,רחוב ראשי אעבלין,דואר ישראל,סניפי דואר 🟡
,ירושלים הבירה 1 בית שאן,דואר ישראל,סניפי דואר 🟡
, אפיקים,דואר ישראל,סניפי דואר 🟡
,דרך החטיבות 1 נוף הגליל,דואר ישראל,סניפי דואר 🟡
,"הפלמ""ח 100 צפת",דואר ישראל,סניפי דואר 🟡
,רחוב ראשי ביר אל-מכסור,דואר ישראל,סניפי דואר 🟡
,"רח' יפו  121, ירושלים",דיסקונט,כספומטים 🟢
,רקפות 2 קריית טבעון,דואר ישראל,סניפי דואר 🟡
,אהרונוביץ 1 חדרה,דואר ישראל,סניפי דואר 🟡
,בובר מרטין 3 קריית ים,דואר ישראל,סניפי דואר 🟡
, נחף,דואר ישראל,סניפי דואר 🟡
,העצמאות 11 עכו,דואר ישראל,סניפי דואר 🟡
, אבו סנאן,דואר ישראל,סניפי דואר 🟡
,קברטאי 1 כפר כמא,דואר ישראל,סניפי דואר 🟡
,"דרך קדם  5, ירושלים",דיסקונט,כספומטים 🟢
,שד רוטשילד קיסריה,דואר ישראל,סניפי דואר 🟡
,שד גושן משה 92 קריית מוצקין,דואר ישראל,סניפי דואר 🟡
,אקליפטוס 3 רמת ישי,דואר ישראל,סניפי דואר 🟡
,"צומת בית ליד  1, כפר יונה",דיסקונט,כספומטים 🟢
,"דוד בן גוריון  1, כפר יונה",דיסקונט,כספומטים 🟢
,שייח' אמין טריף 32 שפרעם,דואר ישראל,סניפי דואר 🟡
,כיכר רבין 1 טבריה,דואר ישראל,סניפי דואר 🟡
,אור חיים 11 טבריה,דואר ישראל,סניפי דואר 🟡
,"ויצמן  75, כפר סבא",דיסקונט,כספומטים 🟢
,"לח""י 2 כפר תבור",דואר ישראל,סניפי דואר 🟡
,שד הנשיא 37 חיפה,דואר ישראל,סניפי דואר 🟡
,רחוב ראשי עילוט,דואר ישראל,סניפי דואר 🟡
,"מעלה כמון  5, כרמיאל",דיסקונט,כספומטים 🟢
,"דוד המלך  2, לוד",דיסקונט,כספומטים 🟢
,"הראל  1, מבשרת ציון",דיסקונט,כספומטים 🟢
,הרב לוין 18 עפולה,דואר ישראל,סניפי דואר 🟡
,רחוב ראשי יסוד המעלה,דואר ישראל,סניפי דואר 🟡
,"דרך העצמאות  1, מגדל העמק",דיסקונט,כספומטים 🟢
,רחוב ראשי מגאר,דואר ישראל,סניפי דואר 🟡
,"הרברט סמואל  68, חדרה",דיסקונט,כספומטים 🟢
,הפרחים 16 רשפון,דואר ישראל,סניפי דואר 🟡
,"לב העיר  2, מודיעין-מכבים-רעות",דיסקונט,כספומטים 🟢
,"שדרות הגעתון  29, נהרייה",דיסקונט,כספומטים 🟢
,"דרך  אריאל שרון41  41, נוף הגליל",דיסקונט,כספומטים 🟢
,"ויצמן  31, נס ציונה",דיסקונט,כספומטים 🟢
,אופסטרלנד 4 רעננה,דואר ישראל,סניפי דואר 🟡
, יבנאל,דואר ישראל,סניפי דואר 🟡
, כאבול,דואר ישראל,סניפי דואר 🟡
, כפר יאסיף,דואר ישראל,סניפי דואר 🟡
,"בילאל  45, נצרת",דיסקונט,כספומטים 🟢
,הגליל 8 כרמיאל,דואר ישראל,סניפי דואר 🟡
,התמר 1 מגדל,דואר ישראל,סניפי דואר 🟡
,"סמילנסקי  6, נתניה",דיסקונט,כספומטים 🟢
,"טום לנטוס  26, נתניה",דיסקונט,כספומטים 🟢
,מעברות מעברות,דואר ישראל,סניפי דואר 🟡
, מעלה עירון,דואר ישראל,סניפי דואר 🟡
,רח' 6077 4 נצרת,דואר ישראל,סניפי דואר 🟡
,"גיבורי ישראל  13, נתניה",דיסקונט,כספומטים 🟢
,הגליל 81 סח'נין,דואר ישראל,סניפי דואר 🟡
,המלאכה 4 ראש העין,דואר ישראל,סניפי דואר 🟡
, גבעת השלושה,דואר ישראל,סניפי דואר 🟡
,"בן עמי  67, עכו",דיסקונט,כספומטים 🟢
,"דרך מנחם בגין  72, עפולה",דיסקונט,כספומטים 🟢
,"גלעד  1, פרדס חנה-כרכור",דיסקונט,כספומטים 🟢
,חרוד 11 נוף הגליל,דואר ישראל,סניפי דואר 🟡
, שלומי,דואר ישראל,סניפי דואר 🟡
,"כיכר צה""ל 110 קריית שמונה",דואר ישראל,סניפי דואר 🟡
,"סלור  22, פתח תקווה",דיסקונט,כספומטים 🟢
,"העצמאות  65, פתח תקווה",דיסקונט,כספומטים 🟢
,גליס 51 פתח תקווה,דואר ישראל,סניפי דואר 🟡
,"חיה פיינשטיין  11, פתח תקווה",דיסקונט,כספומטים 🟢
,"העליה ב'  4, צפת",דיסקונט,כספומטים 🟢
,"שלמה המלך  38, קריית אונו",דיסקונט,כספומטים 🟢
,"העצמאות  61, קריית אתא",דיסקונט,כספומטים 🟢
,ז'בוטינסקי 39 פתח תקווה,דואר ישראל,סניפי דואר 🟡
,"דרך חיפה  30, קריית אתא",דיסקונט,כספומטים 🟢
,"דרך עכו  194, קריית ביאליק",דיסקונט,כספומטים 🟢
,"הגפן  3, קריית גת",דיסקונט,כספומטים 🟢
,"דקר  1, קריית מוצקין",דיסקונט,כספומטים 🟢
,סמילנסקי 8 נתניה,דואר ישראל,סניפי דואר 🟡
,"רש""י  1, קריית מלאכי",דיסקונט,כספומטים 🟢
,"טשרנחובסקי  4, קריית שמונה",דיסקונט,כספומטים 🟢
,"גבעת טל  2, ראש העין",דיסקונט,כספומטים 🟢
,"הרצל  87, ראשון לציון",דיסקונט,כספומטים 🟢
,"סחרוב  18, ראשון לציון",דיסקונט,כספומטים 🟢
,"קניון אסף סנטר  1, ראשון לציון",דיסקונט,כספומטים 🟢
,"מורשת ישראל  15, ראשון לציון",דיסקונט,כספומטים 🟢
,"הרצל  190, רחובות",דיסקונט,כספומטים 🟢
,"קריית גת, שד מלכי ישראל 178",שופרסל,מרכולים 🟣
,"חולון, קרן היסוד 1",שופרסל,מרכולים 🟣
,"שדרות הרצל  55, רמלה",דיסקונט,כספומטים 🟢
,"ז'בוטינסקי  3, רמת גן",דיסקונט,כספומטים 🟢
,"לנדאו  7, רמת גן",דיסקונט,כספומטים 🟢
,"גולני  29, רמת גן",דיסקונט,כספומטים 🟢
,"שד' דוד טוביהו  125, באר שבע",דיסקונט,כספומטים 🟢
,"אבא הלל סילבר  12, רמת גן",דיסקונט,כספומטים 🟢
,"בי""ח שיבא  1, רמת גן",דיסקונט,כספומטים 🟢
,"סוקולוב  46, רמת השרון",דיסקונט,כספומטים 🟢
,"אחוזה  128, רעננה",דיסקונט,כספומטים 🟢
,"יהודה הלוי  38, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"שד' ירושלים  15, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"בני ברק, עזרא 21",שופרסל,מרכולים 🟣
,"קניון נוף הגולן?, בני יהודה",מכבי,טיפות חלב 🔴
,"ישיבת הסדר חספין?, חספין",מכבי,טיפות חלב 🔴
,"ויצמן  20, גבעתיים",הפועלים,כספומטים 🟢
,"רחובות, בן דוד פנחס 1",שופרסל,מרכולים 🟣
,"העצמאות  7, גן יבנה",הפועלים,כספומטים 🟢
,"עלי מול (הקניון החדש) כביש עוקף דליה 672  0, דאלית אל-כרמל",הפועלים,כספומטים 🟢
,"יגאל אלון  5, דימונה",הפועלים,כספומטים 🟢
,"יגאל אלון  96, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"אבן גבירול  66, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"שדרות רוטשילד  76, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"יהודה הנשיא  34, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"דיזנגוף  55, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"דרך משה דיין  64, תל אביב -יפו",דיסקונט,כספומטים 🟢
,החוגה רמת אפעל 1 רמת גן,דואר ישראל,סניפי דואר 🟡
,דרך אבא הלל 7 רמת גן,דואר ישראל,סניפי דואר 🟡
,"ה' באייר  66, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"נהרייה, שד הגעתון 37",שופרסל,מרכולים 🟣
,"רמת אביב ג'  25, תל אביב -יפו",דיסקונט,כספומטים 🟢
,מס דני 2 רמלה,דואר ישראל,סניפי דואר 🟡
,"בני ברק, אהרונוביץ ראובן 10",שופרסל,מרכולים 🟣
,"הרברט סמואל  85, חדרה",הפועלים,כספומטים 🟢
,"הברזל  24, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"יהודה הלוי  27, תל אביב -יפו",דיסקונט,כספומטים 🟢
,ההסתדרות 36 חולון,דואר ישראל,סניפי דואר 🟡
,"קפלן  2, תל אביב -יפו",דיסקונט,כספומטים 🟢
,"חדרה, הקידה 2",שופרסל,מרכולים 🟣
,"המייסדים  58, אבן יהודה",הפועלים,כספומטים 🟢
,"יהוד-מונוסון, אלטלף אברהם 4",שופרסל,מרכולים 🟣
,"גבעתיים, בורוכוב 54",שופרסל,מרכולים 🟣
,"אופקים, ז'בוטינסקי 25",שופרסל,מרכולים 🟣
,"רחוב ראשי - כניסה ראשית  1, אום אל-פחם",הפועלים,כספומטים 🟢
,"שד' הרצל  11, אופקים",הפועלים,כספומטים 🟢
,בגין מנחם 38 גבעת שמואל,דואר ישראל,סניפי דואר 🟡
,"אליהו סעדון  123, אור יהודה",הפועלים,כספומטים 🟢
,אנגל 78 כפר סבא,דואר ישראל,סניפי דואר 🟡
,"בני ברק, ירושלים 70",שופרסל,מרכולים 🟣
,"השיקמים  8, אור עקיבא",הפועלים,כספומטים 🟢
,"ההסתדרות  11, חולון",הפועלים,כספומטים 🟢
,"לה גרדיה  78, תל אביב -יפו",לאומי,כספומטים 🟢
,"אשדוד, שד הרצל 1",שופרסל,מרכולים 🟣
,"שד' התמרים, פינת דרך הערבה, מרכז מסחרי שבעת הכוכבים  3, אילת",הפועלים,כספומטים 🟢
,"רחוב ראשי   1692000, אכסאל",הפועלים,כספומטים 🟢
,"הרוקמים   26, חולון",הפועלים,כספומטים 🟢
,"ראש העין, דיין משה 2",שופרסל,מרכולים 🟣
,"יהודה הנשיא  94, אלעד",הפועלים,כספומטים 🟢
,"קריית טבעון, אלונים 33",שופרסל,מרכולים 🟣
,"אלעד, רבנו ניסים גאון 79",שופרסל,מרכולים 🟣
,"פרדס חנה-כרכור, דרך קדמה 23",שופרסל,מרכולים 🟣
,"הבנאי  6, אריאל",הפועלים,כספומטים 🟢
,"הציונות  13, אשדוד",הפועלים,כספומטים 🟢
,"שבי ציון  9, אשדוד",הפועלים,כספומטים 🟢
,"דב גור  29, אשדוד",הפועלים,כספומטים 🟢
,"ירושלים, האומן 17",שופרסל,מרכולים 🟣
,"הרצל  28, אשלים",הפועלים,כספומטים 🟢
,"אשלים, הרכבת 1",שופרסל,מרכולים 🟣
,"חיפה, חניתה 64",שופרסל,מרכולים 🟣
,"הגבורה  3, אשלים",הפועלים,כספומטים 🟢
,"ככר צפניה  10, אשלים",הפועלים,כספומטים 🟢
,"הנשיא ויצמן  190, באקה אל-גרביה",הפועלים,כספומטים 🟢
,"הוד השרון, ז'בוטינסקי 3",שופרסל,מרכולים 🟣
,"שא נס  17, באר יעקב",הפועלים,כספומטים 🟢
,"גבעתיים, ויצמן 20",שופרסל,מרכולים 🟣
,"הנביאים  18, חיפה",הפועלים,כספומטים 🟢
,"שד' הנשיא  111, חיפה",הפועלים,כספומטים 🟢
,"שד' יוהנה ז'בוטינסקי  36, באר שבע",הפועלים,כספומטים 🟢
,"העצמאות  40, באר שבע",הפועלים,כספומטים 🟢
,"יצחק רגר  17, באר שבע",הפועלים,כספומטים 🟢
,"ראשון לציון, ברנשטיין 2",שופרסל,מרכולים 🟣
,"אברהם אבינו  99, באר שבע",הפועלים,כספומטים 🟢
,"אשדוד, סנש חנה 9",שופרסל,מרכולים 🟣
,"ירושלים, נג'ארה 2",שופרסל,מרכולים 🟣
,"ירושלים הבירה  13, בית שאן",הפועלים,כספומטים 🟢
,"נחל ניצנים  16, בית שמש",הפועלים,כספומטים 🟢
,"שונית  12, חיפה",הפועלים,כספומטים 🟢
,"באר שבע, האורגים 1",שופרסל,מרכולים 🟣
,"בית שמש, שד נחל צאלים 2",שופרסל,מרכולים 🟣
,"פלי""ם  2, חיפה",הפועלים,כספומטים 🟢
,"חניתה  40, חיפה",הפועלים,כספומטים 🟢
,"דימונה, שד גולדה מאיר 1",שופרסל,מרכולים 🟣
,"שד' יגאל אלון, קניון ביג פאשן  3, בית שמש",הפועלים,כספומטים 🟢
,"ישמח ישראל  2, ביתר עילית",הפועלים,כספומטים 🟢
,"רבי עקיבא  108, בני ברק",הפועלים,כספומטים 🟢
,"קריית אתא, אינשטין 20",שופרסל,מרכולים 🟣
,"חריש, דרך ארץ 1",שופרסל,מרכולים 🟣
,"נהרייה, לוחמי הגטאות 36",שופרסל,מרכולים 🟣
,"ערד, מנוף 7",שופרסל,מרכולים 🟣
,"נוף הגליל, ש רסקו 1",שופרסל,מרכולים 🟣
