qt_p9hh25phtd,qt_xs4phvphtd,qt_ys4phvphtd,qt_h8phm6rhtd,qt_oldnq6rhtd
03-7331200  tel:037331200,"שנקין  3, גבעתיים, ישראל",הבינלאומי גבעתיים,בנקים,6
03-7252200  tel:037252200,"אבן גבירול  71, תל אביב -יפו, ישראל",הפועלים ככר יצחק רבין,בנקים,6
03-7248400  tel:037248400,"בלפור 14, תל אביב -יפו, ישראל",עיריית תל אביב יפו ב' - בלפור,טיפות חלב,5
03-7248333  tel:037248333,"דרך בר-לב חיים 195, תל אביב -יפו, ישראל",עיריית תל אביב יפו ט' - נוה אליעזר,טיפות חלב,5
03-7248311  tel:037248311,"טבת 15, תל אביב -יפו, ישראל","עיריית תל אביב יפו י""א - שכונת עזרא",טיפות חלב,5
03-7248282  tel:037248282,"דוידקה 18, תל אביב -יפו, ישראל",עיריית תל אביב יפו ד' - דוידקה,טיפות חלב,5
03-7248262  tel:037248262,"שולמן 3, תל אביב -יפו, ישראל",עיריית תל אביב יפו י' - ביצרון,טיפות חלב,5
03-7248258  tel:037248258,"ראשון לציון 3, תל אביב -יפו, ישראל",עיריית תל אביב יפו ו' - תחנה מרכזית,טיפות חלב,5
03-7248222  tel:037248222,"הקשת 8, תל אביב -יפו, ישראל",עיריית תל אביב יפו ח' - קרית שלום,טיפות חלב,5
03-7248212  tel:037248212,"הערמון 8, תל אביב -יפו, ישראל","עיריית תל אביב יפו י""ד - עג'מי - מרכז הירש",טיפות חלב,5
03-7248181  tel:037248181,"עירית 17, תל אביב -יפו, ישראל","עיריית תל אביב יפו ט""ז - יפו ג'",טיפות חלב,5
03-7248161  tel:037248161,"ירושלמי 14, תל אביב -יפו, ישראל","עיריית תל אביב יפו י""ט - בבלי",טיפות חלב,5
03-7248121  tel:037248121,"למדן יצחק 20, תל אביב -יפו, ישראל","עיריית תל אביב יפו כ""ה - נאות אפקה",טיפות חלב,5
03-7240366  tel:037240366,"בוגרשוב 14, תל אביב -יפו, ישראל",עיריית תל אביב יפו ה' - בוגרשוב,טיפות חלב,5
03-7214100  tel:037214100,"מרכז מסחרי 1, אורנית, ישראל",מכבי אורנית מכבי,טיפות חלב,5
03-7146600  tel:037146600,"המסגר  40, תל אביב -יפו, ישראל",הפועלים מרכז תפעולי ארצי לסחר חוץ,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 174,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 159,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 412,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 600,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 72,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 167,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 168,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 169,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 765,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 586,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 399,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 391,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 177,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 436,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 175,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 110,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות חולון 63,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות עסקי חולון 176,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 472,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 394,בנקים,6
03-7140300  tel:037140300,"הצורן  4, נתניה, ישראל",הפועלים מרכז שירות נתניה 562,בנקים,6
03-7140300  tel:037140300,"הרוקמים  26, חולון, ישראל",הפועלים מרכז שירות חולון 61,בנקים,6
03-7102270  tel:037102270,"שד' הנשיא  127, חיפה, ישראל",הבינלאומי המרכז לבנקאות פרטית - צפון,בנקים,6
03-6984200  tel:036984200,"אינשטיין  7, תל אביב -יפו, ישראל",הבינלאומי אביבים,בנקים,6
03-6972055  tel:036972055,"בורלא יהודה 27, תל אביב -יפו, ישראל",עיריית תל אביב יפו דנה שלי למד,טיפות חלב,5
03-6946200  tel:036946200,"ויצמן  32, תל אביב -יפו, ישראל",הבינלאומי ככר המדינה,בנקים,6
03-6941555  tel:036941555,"תל אביב - יפו, שפרינצק 15, ישראל",מאוחדת תל אביב-שפרינצק,מרפאות,2
03-6935769  tel:036935769,"דניאל פריש  3, תל אביב -יפו, ישראל",הפועלים שאול המלך,בנקים,6
03-6799200  tel:036799200,"ביאליק  10, רמת גן, ישראל",מסד רמת גן,בנקים,6
03-6790217  tel:036790217,"המעורר 24, גבעתיים, ישראל",כללית המעורר,טיפות חלב,5
03-6790200  tel:036790200,"גבעתיים, המעורר 24, ישראל",כללית המעורר - גבעתיים,מרפאות,2
03-6771286  tel:036771286,"החי""ל 16, רמת גן, ישראל",משרד הבריאות החייל,טיפות חלב,5
03-6757200  tel:036757200,"ביאליק  10, רמת גן, ישראל",הבינלאומי רמת גן,בנקים,6
03-6752647  tel:036752647,"ביאליק  32, רמת גן, ישראל",הפועלים רמת גן,בנקים,6
03-67248148  tel:0367248148,"פילדלפיה 6, תל אביב -יפו, ישראל","עיריית תל אביב יפו כ""ב - נוה שרת",טיפות חלב,5
03-6714200  tel:036714200,"רמת גן, אהוד 6, ישראל",כללית שני - רמת גן,מרפאות,2
03-6713600  tel:036713600,"רמת גן, אצ''ל 32, ישראל",כללית רמת עמידר - רמת גן,מרפאות,2
03-6713111  tel:036713111,"ניסנבאום  37, בת ים, ישראל",הפועלים BUSINESS בת ים ,בנקים,6
03-6711400  tel:036711400,"רמת גן, באר אורה 19, ישראל",לאומית באר אורה,מרפאות,2
03-6711200  tel:036711200,"הירדן  29, רמת גן, ישראל",הפועלים נוה רם,בנקים,6
03-6591729  tel:036591729,"התמר  1, עומר, ישראל",הפועלים עומר,בנקים,6
03-6532407  tel:036532407,"המצודה  10, אזור, ישראל",הפועלים פועלים בטלפון,בנקים,6
03-6532407  tel:036532407,"שד' הציונות  1, לוד, ישראל",הפועלים לוד,בנקים,6
03-6510398  tel:036510398,"ביאליק 165/166, חולון, ישראל",משרד הבריאות נווה רמז,טיפות חלב,5
03-6506200  tel:036506200,"המשביר  1, חולון, ישראל",הבינלאומי חולון עסקים,בנקים,6
03-6503600  tel:036503600,"אזור, וייצמן 25, ישראל",כללית אזור,מרפאות,2
03-6501517  tel:036501517,"הצבר  5, אזור, ישראל",הפועלים בי אונליין,בנקים,6
03-6462849  tel:036462849,"אחימאיר  33, תל אביב -יפו, ישראל",הפועלים רמת אביב ג',בנקים,6
03-6452155  tel:036452155,"פנחס רוזן  28, תל אביב -יפו, ישראל",הפועלים הדר יוסף,בנקים,6
03-6450200  tel:036450200,"פנחס רוזן  72, תל אביב -יפו, ישראל",הבינלאומי טופ-דן,בנקים,6
03-6403200  tel:036403200,"בית צורי  15, תל אביב -יפו, ישראל",הבינלאומי רמת אביב,בנקים,6
03-6371500  tel:036371500,"דרך מנחם בגין  52, תל אביב -יפו, ישראל",הפועלים מרכז עסקים תל אביב,בנקים,6
03-6371203  tel:036371203,"יהודה הלוי  62, תל אביב -יפו, ישראל",הפועלים קרנות נאמנות,בנקים,6
03-6360225  tel:036360225,"דרך ההגנה  63, תל אביב -יפו, ישראל",הפועלים שכונת התקוה,בנקים,6
03-6343401  tel:036343401,"בר לב חיים 10, אור יהודה, ישראל",כללית נוה סביון,טיפות חלב,5
03-6311319  tel:036311319,"שמעוני 8, רמת גן, ישראל",משרד הבריאות שקמה,טיפות חלב,5
03-6304600  tel:036304600,"תל אביב - יפו, דימונה 8, ישראל",לאומית יד אליהו,מרפאות,2
03-6300433  tel:036300433,"לה גוורדיה  58, תל אביב -יפו, ישראל",הפועלים יד אליהו,בנקים,6
03-6276611  tel:036276611,"שייקה אופיר  3, ראש העין, ישראל",יהב ראש העין,בנקים,6
03-6232636  tel:036232636,"דרך מנחם בגין  23, תל אביב -יפו, ישראל",הפועלים   Business בגין תלא אביב ,בנקים,6
03-6231729  tel:036231729,"יגאל אלון  65, תל אביב -יפו, ישראל",הפועלים פועלים Business יצחק שדה,בנקים,6
03-6183470  tel:036183470,"בגין מנחם 48, בני ברק, ישראל",משרד הבריאות פרדס כץ,טיפות חלב,5
03-6174200  tel:036174200,"יעקב לנדאו  4, בני ברק, ישראל",הבינלאומי פאגי בני ברק,בנקים,6
03-6162850  tel:036162850,"רבי עקיבא 86, בני ברק, ישראל",משרד הבריאות לב העיר,טיפות חלב,5
03-6159600  tel:036159600,"בני ברק, הרב לנדא יעקב 4, ישראל",מאוחדת בני ברק מרום -שיר,מרפאות,2
03-6156200  tel:036156200,"רבי עקיבא  86, בני ברק, ישראל",הבינלאומי פאגי רבי עקיבא,בנקים,6
03-5779600  tel:035779600,"בני ברק, עלי הכהן 13, ישראל",כללית בלומנטל - בני ברק,מרפאות,2
03-5777322  tel:035777322,"רבי עקיבא  108, בני ברק, ישראל",הפועלים בני ברק,בנקים,6
03-5777200  tel:035777200,"בני ברק, רבי עקיבא 83, ישראל",כללית בני ברק אזורית,מרפאות,2
03-5762200  tel:035762200,"תובל  23, רמת גן, ישראל",הבינלאומי הבורסה,בנקים,6
03-5734620  tel:035734620,"דרך בן גוריון דוד 182, גבעתיים, ישראל",מכבי גבעתיים,טיפות חלב,5
03-5721515  tel:035721515,"ויצמן  20, גבעתיים, ישראל",הפועלים גבעתיים,בנקים,6
03-5704098  tel:035704098,"הרב לנדא יעקב 4, בני ברק, ישראל",משרד הבריאות לנדא,טיפות חלב,5
03-5680200  tel:035680200,"יצחק שדה  7, תל אביב -יפו, ישראל",הבינלאומי עסקים מרכז,בנקים,6
03-5676600  tel:035676600,"רוטשילד  50, תל אביב -יפו, ישראל",הפועלים הסניף הראשי,בנקים,6
03-5675792  tel:035675792,"יהודה הלוי  62, תל אביב -יפו, ישראל",הפועלים ניירות ערך-תפעול,בנקים,6
03-5675522  tel:035675522,"יהודה הלוי  62, תל אביב -יפו, ישראל",הפועלים האגף לניירות ערך ונכסים פיננסיים,בנקים,6
03-5674395  tel:035674395,"שד' רוטשילד  46, תל אביב -יפו, ישראל",הפועלים בנקאות פלטינום,בנקים,6
03-5673600  tel:035673600,"שדרות רוטשילד  50, תל אביב -יפו, ישראל",הפועלים מרכז מזומנים,בנקים,6
03-5673333  tel:035673333,"שד' רוטשילד  50, תל אביב -יפו, ישראל",הפועלים הנהלה ראשית,בנקים,6
03-5649200  tel:035649200,"אהרונוביץ  10, בני ברק, ישראל",הבינלאומי מתחם שירותי קופות,בנקים,6
03-5645845  tel:035645845,"משכית  35, הרצלייה, ישראל",הבינלאומי יובנק - הרצליה,בנקים,6
03-5645222  tel:035645222,"שדרות רוטשילד  42, תל אביב -יפו, ישראל",הבינלאומי יובנק - תל אביב (ראשי),בנקים,6
03-5641411  tel:035641411,"שד' רוטשילד  38, תל אביב -יפו, ישראל",מסד תל אביב,בנקים,6
03-5635353  tel:035635353,"החשמונאים  84, תל אביב -יפו, ישראל",הבינלאומי החשמונאים,בנקים,6
03-5586872  tel:035586872,"הר הצופים 6, חולון, ישראל",משרד הבריאות קרית שרת,טיפות חלב,5
03-5571200  tel:035571200,"המרגנית  2, חולון, ישראל",הבינלאומי קריית אילון,בנקים,6
03-5570753  tel:035570753,"הרוקמים   26, חולון, ישראל",הפועלים BUSINESS חולון ,בנקים,6
03-5556900  tel:035556900,"בת ים, מוכרי הסיגריות 3, ישראל",לאומית בת ים מלמדוביץ,מרפאות,2
03-5555619  tel:035555619,"צבי תדמור, מרכז נתנאל  12, חולון, ישראל",הפועלים לב חולון,בנקים,6
03-5554420  tel:035554420,"אנה פרנק  31, בת ים, ישראל",הפועלים רמת הנשיא,בנקים,6
03-5540591  tel:035540591,"ארליך שמחה 2, חולון, ישראל",משרד הבריאות בר-לב,טיפות חלב,5
03-5526771  tel:035526771,"בלפור 152, בת ים, ישראל",משרד הבריאות גלעד,טיפות חלב,5
03-5516865  tel:035516865,"הנביאים 1/א, בת ים, ישראל",משרד הבריאות חרושת,טיפות חלב,5
03-5484646  tel:035484646,"הנצח 3, רמת השרון, ישראל",מכבי רמת השרון,טיפות חלב,5
03-5481344  tel:035481344,"סוקולוב  90, רמת השרון, ישראל",הפועלים רמת השרון,בנקים,6
03-5433808  tel:035433808,"ברוריה 1, פתח תקווה, ישראל",משרד הבריאות נוה גן,טיפות חלב,5
03-5428300  tel:035428300,"אבא הלל, קומה 14  12, רמת גן, ישראל",הפועלים מרכז עסקים המרכז,בנקים,6
03-5421324  tel:035421324,"פנקס  32, תל אביב -יפו, ישראל",הפועלים פנקס,בנקים,6
03-5395300  tel:035395300,"יהוד, צבי ישי 19, ישראל",כללית יהוד,מרפאות,2
03-5395300  tel:035395300,"צבי ישי 19, יהוד-מונוסון, ישראל",כללית יהוד כללית,טיפות חלב,5
03-5394200  tel:035394200,"שד' ירושלים  136, נתיבות, ישראל",הבינלאומי פאגי נתיבות,בנקים,6
03-5392300  tel:035392300,"דרך החורש 4, יהוד-מונוסון, ישראל",כללית קרית סביונים,טיפות חלב,5
03-5391133  tel:035391133,"ויצמן  9, יהוד-מונוסון, ישראל",הפועלים יהוד,בנקים,6
03-5389155  tel:035389155,"אליהו סעדון  123, אור יהודה, ישראל",הפועלים אור יהודה,בנקים,6
03-5387222  tel:035387222,"אופירה 1, אור יהודה, ישראל",מכבי אור יהודה,טיפות חלב,5
03-5385200  tel:035385200,"אור יהודה, אופירה 3, ישראל",כללית גיורא - אור יהודה,מרפאות,2
03-5344995  tel:035344995,"קניון קרית אונו, קריית אונו, ישראל",כללית קרית אונו ב',טיפות חלב,5
03-5322664  tel:035322664,"אלעזר דוד 6, גבעת שמואל, ישראל",משרד הבריאות גבעת שמואל,טיפות חלב,5
03-5316200  tel:035316200,"שלמה המלך  37, קריית אונו, ישראל",הבינלאומי קיראון,בנקים,6
03-5310710  tel:035310710,"פינת קדם בתוך הקניון, רבבה, ישראל",כללית רבבה כללית,טיפות חלב,5
03-5308300  tel:035308300,"קרית אונו, וולך 31, ישראל",לאומית קרית אונו,מרפאות,2
03-5308200  tel:035308200,"הנוף  33, סביון, ישראל",הבינלאומי סביון,בנקים,6
03-5304111  tel:035304111,"קניון קרית אונו, קריית אונו, ישראל",מכבי קרית אונו,טיפות חלב,5
03-5300240  tel:035300240,"הנשיא  57, קריית אונו, ישראל",הפועלים קרית אונו,בנקים,6
03-5269355  tel:035269355,"דיזנגוף  64, תל אביב -יפו, ישראל",הפועלים לב דיזנגוף,בנקים,6
03-5267630  tel:035267630,"כביש עכו-נהריה, א.ת. אלרם (עכו דרום)  0, עכו, ישראל",מסד שלוחת עכו,בנקים,6
03-5208200  tel:035208200,"ריינס  2, תל אביב -יפו, ישראל",הבינלאומי דיזנגוף,בנקים,6
03-5206233  tel:035206233,"דיזנגוף  205, תל אביב -יפו, ישראל",הפועלים הצפון,בנקים,6
03-5196662  tel:035196662,"רוטשילד  42, תל אביב -יפו, ישראל",הבינלאומי מרכז תפעול לחברי בורסה שאינם בנקים,בנקים,6
03-5196111  tel:035196111,"שד' רוטשילד  42, תל אביב -יפו, ישראל",הבינלאומי תל אביב ראשי,בנקים,6
03-5155558  tel:035155558,"שד' ירושלים  16, תל אביב -יפו, ישראל",הפועלים יפו,בנקים,6
03-5133222  tel:035133222,"סלמה  4, תל אביב -יפו, ישראל",מזרחי חצרות יפו,בנקים,6
03-5132750  tel:035132750,"ההגנה  23, ירושלים, ישראל",מסד שלוחת הגבעה הצרפתית,בנקים,6
03-5132745  tel:035132745,"רחוב ראשי  0, סח'נין, ישראל",מסד שלוחת סכנין - סניף כרמיאל,בנקים,6
03-5132740  tel:035132740,"מרכז מסחרי בתחנת דלק פז  0, כוכב יאיר, ישראל",מסד שלוחת השרון,בנקים,6
03-5122630  tel:035122630,"שד' ישראל גורי  34, תל אביב -יפו, ישראל",הפועלים קרית שלום,בנקים,6
03-5063536  tel:035063536,"קדושי קהיר 4, בת ים, ישראל",משרד הבריאות קדושי קהיר,טיפות חלב,5
03-5048560  tel:035048560,"חזית חמש 5, חולון, ישראל",משרד הבריאות תל-גיבורים,טיפות חלב,5
03-5025398  tel:035025398,"ויצמן  46, חולון, ישראל",הפועלים חולון-ויצמן,בנקים,6
03-5021414  tel:035021414,"חולון, קוגל שד' 45, ישראל",מאוחדת חולון-שד' קוגל,מרפאות,2
03-5020455  tel:035020455,"שנקר  39, חולון, ישראל",הפועלים שנקר,בנקים,6
03-5003333  tel:035003333,"בת ים, יוספטל 82, ישראל",מאוחדת בת ים-יוספטל 82,מרפאות,2
03-5003200  tel:035003200,"יוספטל  62, בת ים, ישראל",הבינלאומי בת ים,בנקים,6
03-5001343  tel:035001343,"הרב ניסנבאום   37, בת ים, ישראל",הפועלים בת ים,בנקים,6
03-39541111  tel:0339541111,"ראשון לציון, רוטשילד 15, ישראל","מכבי מר.רפואי רמות ראשל""צ-מנהלת",מרפאות,2
03-39392626  tel:0339392626,"פתח תקווה, שפיגל זוסיה 3, ישראל",מכבי מר.רפואי פתח תקוה-מנהלת,מרפאות,2
03-39065050  tel:0339065050,"אריאל, הערבה 1, ישראל",מכבי מר.רפואי אריאל-מנהלת,מרפאות,2
03-36750333  tel:0336750333,"רמת גן, אורה 4, ישראל",מכבי מר.רפואי רמת גן-מנהלת,מרפאות,2
03-35771313  tel:0335771313,"בני ברק, הרב כהנמן 64, ישראל",מכבי מר.רפואי בני ברק-כהנמן-מנהלת,מרפאות,2
03-35771313  tel:0335771313,"בני ברק, רבי עקיבא 86, ישראל",מכבי מר.רפואי בני ברק-מנהלת,מרפאות,2
03-35630333  tel:0335630333,"תל אביב - יפו, בלפור 10, ישראל",מכבי מר.רפואי בלפור-מנהלת,מרפאות,2
03-35484646  tel:0335484646,"רמת השרון, הנצח 3, ישראל","מכבי מר.רפואי רמה""ש-מנהלת",מרפאות,2
03-35425252  tel:0335425252,"תל אביב - יפו, השל""ה 7, ישראל","מכבי מר.רפואי השל""ה-מנהלת",מרפאות,2
03-35304111  tel:0335304111,"קרית אונו, ירושלים 39, ישראל",מכבי מר.רפואי קרית אונו-מנהלת,מרפאות,2
03-35122122  tel:0335122122,"תל אביב - יפו, התקומה 36, ישראל",מכבי מר.רפואי יפו-מנהלת,מרפאות,2
03-35025252  tel:0335025252,"חולון, הופיין 13, ישראל",מכבי מר.רפואי חולון-מנהלת,מרפאות,2
03-35004444  tel:0335004444,"בת ים, קדושי קהיר 20, ישראל",מכבי מר.רפואי קדושי קהיר-מנהלת,מרפאות,2
03-35001212  tel:0335001212,"בת ים, כצנלסון ברל 37, ישראל",מכבי מר.רפואי בת ים-מנהלת,מרפאות,2
02-9975318  tel:029975318,"החלוצים פינת כנפי נשרים, בית אל, ישראל",כללית בית אל כללית,טיפות חלב,5
02-9967888  tel:029967888,"קרית ארבע, בן יפונה 0, ישראל",מאוחדת קרית ארבע-חברון,מרפאות,2
02-9961755  tel:029961755,"בנין המרכז הרפואי, קריית ארבע, ישראל",משרד הבריאות קרית ארבע,טיפות חלב,5
02-9961391  tel:029961391,"תקוע, תקוע, ישראל",מכבי תקוע,טיפות חלב,5
02-9947313  tel:029947313,"מרכז לב עלי, עלי, ישראל",מכבי עלי מכבי,טיפות חלב,5
02-9947070  tel:029947070,"ד.נ אפרים, עלי, ישראל",כללית עלי כללית,טיפות חלב,5
02-9939775  tel:029939775,"אגן האיילות 41, גבעת זאב, ישראל",מאוחדת אגן איילות,טיפות חלב,5
02-9939666  tel:029939666,"אפרת, שד המלך דוד 0, ישראל",מאוחדת אפרת - שד' המלך דוד 39,מרפאות,2
02-9937211  tel:029937211,"בית שמש, שדרות יגאל אלון 1, ישראל",כללית ביג שמשון - בית שמש,מרפאות,2
02-9932140  tel:029932140,"ת.ד 1041, אפרת, ישראל",מכבי אפרת מכבי,טיפות חלב,5
02-9914008  tel:029914008,"שריגים 1, שריגים (לי-און), ישראל",כללית שריגים,טיפות חלב,5
02-9906400  tel:029906400,"מנחם פרוש  1, בית שמש, ישראל",הבינלאומי פאגי רמת בית שמש,בנקים,6
02-9905249  tel:029905249,"שד' יגאל אלון, קניון ביג פאשן  3, בית שמש, ישראל",הפועלים בית שמש,בנקים,6
02-9903888  tel:029903888,"בית שמש, נחל צאלים 2, ישראל",מאוחדת רמת בית שמש א',מרפאות,2
02-9902444  tel:029902444,"נחל ניצנים  16, בית שמש, ישראל",הפועלים רמת בית שמש,בנקים,6
02-9705700  tel:029705700,"אהבת ישראל 2, כוכב יעקב, ישראל",כללית תל ציון -  כוכב יעקב כללית,טיפות חלב,5
02-6756888  tel:026756888,"הלל  10, ירושלים, ישראל",הבינלאומי ירושלים ראשי,בנקים,6
02-6733912  tel:026733912,"אלמדינה מונורה 172, ירושלים, ישראל",עיריית ירושלים צור באחר,טיפות חלב,5
02-6716575  tel:026716575,"ויס יעקב 4, ירושלים, ישראל",עיריית ירושלים תלפיות מזרח,טיפות חלב,5
02-6594743  tel:026594743,"ד.נ ים המלח, עין גדי, ישראל",כללית עין גדי,טיפות חלב,5
02-6580161  tel:026580161,"נחל צין 67, ירוחם, ישראל",משרד הבריאות ירוחם,טיפות חלב,5
02-6548787  tel:026548787,"כנפי נשרים  22, ירושלים, ישראל",הפועלים גבעת שאול,בנקים,6
02-6544200  tel:026544200,"כנפי נשרים  2, ירושלים, ישראל",הבינלאומי קרית משה,בנקים,6
02-6493454  tel:026493454,"אגודת הפועל בנין 2  2, ירושלים, ישראל",הפועלים הגן הטכנולוגי,בנקים,6
02-6472200  tel:026472200,"ישמח ישראל  2, ביתר עילית, ישראל",הפועלים ביתר עילית,בנקים,6
02-6469222  tel:026469222,"ירושלים, המור 1, ישראל",כללית גילה - ירושלים,מרפאות,2
02-6468666  tel:026468666,"ירושלים, צביה ויצחק 800, ישראל",מאוחדת ירושלים-צביה ויצחק,מרפאות,2
02-6465225  tel:026465225,"אביזוהר  8, ירושלים, ישראל",הפועלים בית הכרם,בנקים,6
02-6442300  tel:026442300,"ירושלים, צור באחר , ישראל",לאומית צור באחר,מרפאות,2
02-6438275  tel:026438275,"ד.נ. הרי יהודה 90885, עמינדב, ישראל",כללית עמינדב,טיפות חלב,5
02-6402100  tel:026402100,"שמגר 6, ירושלים, ישראל",עיריית ירושלים כדורי,טיפות חלב,5
02-6312278  tel:026312278,"אור החיים 2, בית שמש, ישראל",משרד הבריאות מרגלית,טיפות חלב,5
02-6311500  tel:026311500,"ירמיהו הנביא 5, בית שמש, ישראל",משרד הבריאות בת שבע,טיפות חלב,5
02-6288187  tel:026288187,"הרובע המוסלמי, העיר העתיקה, ירושלים, ישראל",הסהר האדום הסהר האדום - עקבת אל חלידיה,טיפות חלב,5
02-6288172  tel:026288172,"אל-חרירי 36, ירושלים, ישראל",הסהר האדום הסהר האדום - שער הפרחים,טיפות חלב,5
02-6237200  tel:026237200,"שמאי  16, ירושלים, ישראל",מסד ירושלים,בנקים,6
02-6219570  tel:026219570,"יד חרוצים  19, ירושלים, ישראל",יהב תלפיות,בנקים,6
02-6219200  tel:026219200,"כנפי נשרים  2, ירושלים, ישראל",הבינלאומי פאגי כנפי נשרים,בנקים,6
02-6207676  tel:026207676,"המלך ג'ורג'  16, ירושלים, ישראל","הפועלים ירושלים, ראשי",בנקים,6
02-5959200  tel:025959200,"שמגר  16, ירושלים, ישראל",הבינלאומי פאגי רב שפע,בנקים,6
02-5953777  tel:025953777,"בית שמש, חבקוק הנביא 11, ישראל",לאומית רמת בית שמש ג',מרפאות,2
02-5940482  tel:025940482,"תורן חיים 45, ירושלים, ישראל",מכבי פסגת זאב,טיפות חלב,5
02-5906330  tel:025906330,"שירת הלויים 11, מצפה יריחו, ישראל",מאוחדת מצפה יריחו מאוחדת,טיפות חלב,5
02-5893788  tel:025893788,"ירושלים, קלרמון גאנו 5, ישראל",כללית שייח ג'ראח ב - ירושלים,מרפאות,2
02-5893720  tel:025893720,"ירושלים, קלרמון גאנו 5, ישראל",כללית שייח ג'ראח א - ירושלים,מרפאות,2
02-5889555  tel:025889555,"ירושלים, פארן 12, ישראל",כללית רמת אשכול - רפואת משפחה וילדים - ירושלים,מרפאות,2
02-5887000  tel:025887000,"הר""ן 20, ביתר עילית, ישראל",כללית לב ביתר,טיפות חלב,5
02-5859908  tel:025859908,"ירושלים, ג'סר א נוצף 2, ישראל",כללית בית חנינא - ירושלים,מרפאות,2
02-5855779  tel:025855779,"סביון 52, גבע בנימין, ישראל",מאוחדת אדם מאוחדת,טיפות חלב,5
02-5849428  tel:025849428,"כביש רמלה אל קודס, ירושלים, ישראל",משרד הבריאות אלחנאן,טיפות חלב,5
02-5843888  tel:025843888,"ירושלים, הרב זווין 6, ישראל",לאומית נווה יעקב,מרפאות,2
02-5843666  tel:025843666,"ירושלים, הסיירת הירושלמית 11, ישראל",כללית פסגת זאב - ירושלים,מרפאות,2
02-5841419  tel:025841419,"שד' משה דיין  106, ירושלים, ישראל",הפועלים פסגת זאב,בנקים,6
02-5725480  tel:025725480,"ישמח ישראל 1, ביתר עילית, ישראל",מכבי ביתר עילית B,טיפות חלב,5
02-5724228  tel:025724228,"כיסופים  801, ירושלים, ישראל",הפועלים רמות,בנקים,6
02-5723200  tel:025723200,"הר""ן  6, ביתר עילית, ישראל",הבינלאומי פאגי ביתר עילית,בנקים,6
02-5712769  tel:025712769,"ש עממי גואטמלה 20, ירושלים, ישראל",עיריית ירושלים קרית יובל,טיפות חלב,5
02-5705600  tel:025705600,"הראל  1, מבשרת ציון, ישראל",הפועלים מבשרת ציון,בנקים,6
02-5698554  tel:025698554,"עזה  38, ירושלים, ישראל",הפועלים רחביה,בנקים,6
02-5698200  tel:025698200,"קרן היסוד  32, ירושלים, ישראל",הבינלאומי רחביה,בנקים,6
02-5683550  tel:025683550,"דרך חברון  101, ירושלים, ישראל",הפועלים תלפיות,בנקים,6
02-5677677  tel:025677677,"ירושלים, מסילת ישרים 14, ישראל",לאומית מסילת ישרים,מרפאות,2
02-5647788  tel:025647788,"ירושלים, הטורים 4, ישראל",מאוחדת ירושלים-הטורים,מרפאות,2
02-5619888  tel:025619888,"זית שמן 2, אפרת, ישראל",מאוחדת אפרת מאוחדת,טיפות חלב,5
02-5612761  tel:025612761,"שכונת אל עבסיה, ירושלים, ישראל",עיריית ירושלים סילואן,טיפות חלב,5
02-5600200  tel:025600200,"קרן היסוד  32, ירושלים, ישראל",הבינלאומי יובנק - ירושלים,בנקים,6
02-5482888  tel:025482888,"ירושלים, ברכת אברהם 10, ישראל",לאומית רמת שלמה,מרפאות,2
