qt_1ipv7riftd,qt_fl5xf47dtd,qt_mjj7cc8dtd,Lego_Geocoding_LatLong
"כפר סבא, תע""ש  13, כפר סבא, ישראל",כספומטים,מזרחי אזור תעשיה כפר סבא,"32.175566,34.926685"
"כפר סבא, רפפורט 3, כפר סבא, ישראל",טיפות חלב,טיפות חלב כפר סבא הירוקה מכבי,"32.192719,34.891605"
"כפר סבא, רפפורט 3, כפר סבא, ישראל",טיפות חלב,טיפות חלב כפר סבא הירוקה מאוחדת,"32.192719,34.891605"
"כפר סבא, רפפורט  1, כפר סבא, ישראל",בנקים,הבינלאומי כפר סבא הירוקה,"32.192443,34.891996"
"כפר סבא, רפפורט  1, כפר סבא, ישראל",כספומטים,הבינלאומי כפר סבא הירוקה,"32.192443,34.891996"
"כפר סבא, רוטשילד  56, כפר סבא, ישראל",כספומטים,הבינלאומי כפר סבא,"32.175659,34.908876"
"כפר סבא, רוטשילד  56, כפר סבא, ישראל",בנקים,הבינלאומי כפר סבא,"32.175659,34.908876"
"כפר סבא, כפר סבא, רפפורט 6, ישראל",מרכולים,שופרסל שופרסח דיל שבירו,"32.192585,34.891628"
"כפר סבא, כפר סבא, רפפורט 3, ישראל",מרפאות,כללית כללית בירוקה - כפר סבא,"32.192719,34.891605"
"כפר סבא, כפר סבא, רוטשילד 65, ישראל",מרכולים,שופרסל שופרסל שלי רוטשילד,"32.176753,34.908749"
"כפר סבא, כפר סבא, עתירי ידע 1, ישראל",מרכולים,יוחננוף יוחננוף כפר סבא,"32.166531,34.92875"
"כפר סבא, כפר סבא, כהן 2, ישראל",מרכולים,קרפור קרפור,"32.178195,34.90761"
"כפר סבא, כפר סבא, יחזקאל 12, ישראל",מרפאות,כללית קפלן - כפר סבא,"32.184272,34.936768"
"כפר סבא, כפר סבא, ויצמן 300, ישראל",מרכולים,שופרסל שופרסל דיל גזית כפר סבא,"32.172888,34.929557"
"כפר סבא, כפר סבא, השיטה 4, ישראל",מרכולים,קרפור קרפור כפר סבא,"32.176268,34.933438"
"כפר סבא, כפר סבא, המייסדים 20, ישראל",מרפאות,מאוחדת המייסדים 20 כפר סבא,"32.176335,34.910359"
"כפר סבא, כפר סבא, דרך השרון 2, ישראל",מרכולים,קשת טעמים כפר סבא,"32.175724,34.88963"
"כפר סבא, כפר סבא, דרך השרון 12, ישראל",מרכולים,קשת טעמים כפר סבא דרך השרון,"32.173576,34.892178"
"כפר סבא, כפר סבא, גלגלי פלדה 5, ישראל",מרכולים,רמי לוי רמי לוי כפר סבא,"32.172634,34.927796"
"כפר סבא, כפר סבא, בן גוריון 43, ישראל",מרפאות,כללית בן גוריון - רפואת משפחה וילדים - כפר סבא,"32.172564,34.908899"
"כפר סבא, כפר סבא, בלפר זאב 12, ישראל",מרכולים,אושר עד זאב בלפר,"32.185676,34.951982"
"כפר סבא, כפר סבא, אנגל 80, ישראל",מרכולים,"ויקטורי דימרי סנטר כ""ס","32.198058,34.890153"
"כפר סבא, יחזקאל 12, כפר סבא, ישראל",טיפות חלב,טיפות חלב קפלן,"32.184272,34.936768"
"כפר סבא, ויצמן 83, כפר סבא, ישראל",טיפות חלב,טיפות חלב וייצמן,"32.17621,34.905234"
"כפר סבא, ויצמן  75, כפר סבא, ישראל",כספומטים,דיסקונט כפר סבא,"32.17631,34.90494"
"כפר סבא, ויצמן  61, כפר סבא, ישראל",בנקים,מזרחי ערים,"32.176923,34.902459"
"כפר סבא, ויצמן  61, כפר סבא, ישראל",כספומטים,מזרחי ערים,"32.176923,34.902459"
"כפר סבא, ויצמן  139, כפר סבא, ישראל",בנקים,לאומי כפר סבא,"32.174398,34.912957"
"כפר סבא, ויצמן  139, כפר סבא, ישראל",כספומטים,לאומי כפר סבא,"32.174398,34.912957"
"כפר סבא, ויצמן  139, כפר סבא, ישראל",בנקים,לאומי כוכב יאיר,"32.174398,34.912957"
"כפר סבא, ויצמן  132, כפר סבא, ישראל",בנקים,"מזרחי כפר סבא, רח' ויצמן","32.174712,34.91045"
"כפר סבא, ויצמן  132, כפר סבא, ישראל",כספומטים,"מזרחי כפר סבא, רח' ויצמן","32.174712,34.91045"
"כפר סבא, ויצמן  102, כפר סבא, ישראל",כספומטים,הפועלים כפר סבא,"32.175243,34.907833"
"כפר סבא, ויצמן  102, כפר סבא, ישראל",בנקים,הפועלים כפר סבא,"32.175243,34.907833"
"כפר סבא, התע""ש  14, כפר סבא, ישראל",כספומטים,מסד כפר סבא,"32.174266,34.927403"
"כפר סבא, התע""ש  14, כפר סבא, ישראל",בנקים,מסד כפר סבא,"32.174266,34.927403"
"כפר סבא, התע""ש  13, כפר סבא, ישראל",כספומטים,מרכנתיל כפר סבא,"32.175566,34.926685"
"כפר סבא, התחיה 7 כפר סבא, ישראל",סניפי דואר,דואר ישראל יחידה מרכזית כפר סבא,"32.175257,34.904289"
"כפר סבא, הטחנה  1, כפר סבא, ישראל",בנקים,לאומי עסקים פסגת השרון,"32.173717,34.891194"
"כפר סבא, הטחנה  1, כפר סבא, ישראל",כספומטים,לאומי עסקים פסגת השרון,"32.173717,34.891194"
"כפר סבא, ברל כצנלסון  2, כפר סבא, ישראל",כספומטים,יהב כפר סבא,"32.176719,34.903152"
"כפר סבא, ברל כצנלסון  2, כפר סבא, ישראל",בנקים,יהב כפר סבא,"32.176719,34.903152"
"כפר סבא, בקעת נטופה  25, כפר סבא, ישראל",כספומטים,הפועלים הדר טל,"32.801883,35.381961"
"כפר סבא, בקעת בית הנטופה  25, כפר סבא, ישראל",בנקים,הפועלים הדר טל,"32.182427,34.928938"
"כפר סבא, בן גוריון 43, כפר סבא, ישראל",טיפות חלב,טיפות חלב בן גוריון כללית,"32.172564,34.908899"
"כפר סבא, בית יתיר, כפר סבא, ישראל",טיפות חלב,טיפות חלב כפר סבא,"32.178195,34.90761"
"כפר סבא, אנגל 78 כפר סבא, ישראל",סניפי דואר,דואר ישראל השכונה הירוקה,"32.198108,34.890305"
"כפר סבא, אנגל  80, כפר סבא, ישראל",כספומטים,מזרחי מסלקה,"32.198058,34.890153"
"כפר סאלד, ד.נ גליל עליון, כפר סאלד, ישראל",טיפות חלב,טיפות חלב כפר סאלד,"33.196035,35.657993"
"כפר מסריק, ד.נ אושרת, כפר מסריק, ישראל",טיפות חלב,טיפות חלב כפר מסריק,"32.971645,35.1557"
"כפר מנדא, רחוב ראשי  0, כפר מנדא, ישראל",בנקים,הפועלים כפר מנדא,"32.809649,35.262405"
"כפר מנדא, רחוב ראשי  0, כפר מנדא, ישראל",כספומטים,הפועלים כפר מנדא,"32.809649,35.262405"
"כפר מנדא, כפר מנדא, כפר מנדא, ישראל",טיפות חלב,טיפות חלב כפר מנדא ג,"32.809649,35.262405"
"כפר מנדא, כפר מנדא, כפר מנדא, ישראל",טיפות חלב,טיפות חלב כפר מנדא ב,"32.809649,35.262405"
"כפר מנדא, כפר מנדא, כפר מנדא, ישראל",טיפות חלב,טיפות חלב כפר מנדא א,"32.809649,35.262405"
"כפר מנדא, כפר מנדא,  0, ישראל",מרפאות,כללית כפר מנדא,"32.809649,35.262405"
"כפר מנדא, הכניסה לכפר  0, כפר מנדא, ישראל",כספומטים,לאומי כפר מנדא,"32.809649,35.262405"
"כפר מנדא,  כפר מנדא, ישראל",סניפי דואר,דואר ישראל כפר מנדא,"32.809649,35.262405"
"כפר כנא, שכונה צפונית ליד שוק אלמג'ד, כפר כנא, ישראל",טיפות חלב,טיפות חלב כפר כנא א',"32.722301,35.321601"
"כפר כנא, רחוב ראשי  81, כפר כנא, ישראל",כספומטים,הפועלים כפר כנא,"32.750474,35.34004"
"כפר כנא, רחוב ראשי  81, כפר כנא, ישראל",בנקים,הפועלים כפר כנא,"32.750474,35.34004"
"כפר כנא, כפר כנא, שכ' ג'בל חוויחה - סמוך למסגד, כפר כנא, ישראל",טיפות חלב,טיפות חלב כפר כנא ב',"32.746798,35.349983"
"כפר כנא, כפר כנא צפונית - סמוך לתחנת דלק פז, כפר כנא, ישראל",טיפות חלב,טיפות חלב כפר כנא ג',"32.750474,35.34004"
"כפר כנא, כפר כנא  0, כפר כנא, ישראל",כספומטים,מרכנתיל כפר כנא,"32.750474,35.34004"
"כפר כנא, כפר כנא  0, כפר כנא, ישראל",בנקים,מרכנתיל כפר כנא,"32.750474,35.34004"
"כפר כנא, הרחוב הראשי  0, כפר כנא, ישראל",כספומטים,לאומי כפר כנא,"32.750474,35.34004"
"כפר כנא, הרחוב הראשי  0, כפר כנא, ישראל",בנקים,לאומי כפר כנא,"32.750474,35.34004"
"כפר כנא, 1693000 כפר כנא, ישראל",סניפי דואר,דואר ישראל כפר כנא,"32.750474,35.34004"
"כפר כמא, קברטאי 1 כפר כמא, ישראל",סניפי דואר,דואר ישראל כפר כמא,"32.721473,35.439462"
"כפר יחזקאל, ד.נ גלבוע, כפר יחזקאל, ישראל",טיפות חלב,טיפות חלב כפר יחזקאל,"32.560277,35.358978"
"כפר יונה, שרת  6, כפר יונה, ישראל",בנקים,הפועלים כפר יונה,"32.318113,34.934213"
"כפר יונה, שרת  6, כפר יונה, ישראל",כספומטים,הפועלים כפר יונה,"32.318113,34.934213"
"כפר יונה, צומת בית ליד  1, כפר יונה, ישראל",כספומטים,דיסקונט פולג נתניה,"32.317636,34.93302"
"כפר יונה, כפר יונה, שרת 6, ישראל",מרכולים,קרפור קרפור סיטי כפר יונה שרת,"32.318113,34.934213"
"כפר יונה, כפר יונה, שד מנחם בגין 44, ישראל",מרכולים,קרפור קרפור סיטי מרכז רינות,"32.311289,34.936548"
"כפר יונה, כפר יונה, הרצל 5, ישראל",מרכולים,ויקטורי הרצל כפר יונה,"32.318526,34.934553"
"כפר יונה, כפר יונה, הרצל 11, ישראל",מרפאות,כללית כפר יונה,"32.319148,34.933685"
"כפר יונה, יחזקאל 1 כפר יונה, ישראל",סניפי דואר,דואר ישראל סוכנות כפר יונה,"32.319117,34.930027"
"כפר יונה, הרצל 13, כפר יונה, ישראל",טיפות חלב,טיפות חלב כפר יונה,"32.319151,34.933217"
"כפר יונה, דוד בן גוריון  1, כפר יונה, ישראל",כספומטים,דיסקונט כפר יונה -שלוחת נתניה,"32.095635,34.822141"
"כפר יונה, דוד בן גוריון  1, כפר יונה, ישראל",בנקים,דיסקונט כפר יונה -שלוחת נתניה,"32.095635,34.822141"
"כפר יאסיף, מרכז מסחרי חדש  0, כפר יאסיף, ישראל",בנקים,מרכנתיל כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף, מרכז מסחרי חדש  0, כפר יאסיף, ישראל",כספומטים,מרכנתיל כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף, כפר יאסיף, כפר יאסיף, ישראל",טיפות חלב,טיפות חלב כפר יאסיף א' + ב',"32.952032,35.159996"
"כפר יאסיף, כפר יאסיף,  0, ישראל",מרפאות,כללית כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף, כפר יאסיף די סנטר  0, כפר יאסיף, ישראל",כספומטים,הפועלים כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף, הרחוב הראשי  0, כפר יאסיף, ישראל",בנקים,לאומי כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף, הרחוב הראשי  0, כפר יאסיף, ישראל",כספומטים,לאומי כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף, די סנטר  1, כפר יאסיף, ישראל",כספומטים,מזרחי כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף, די סנטר  1, כפר יאסיף, ישראל",בנקים,מזרחי כפר יאסיף,"32.952032,35.159996"
"כפר יאסיף,  כפר יאסיף, ישראל",סניפי דואר,דואר ישראל כפר יאסיף,"32.952032,35.159996"
"כפר חסידים ב', כפר חסידים ב', כפר חסידים ב', ישראל",טיפות חלב,טיפות חלב רכסים-כפר חסידים,"32.750515,35.088281"
"כפר ורדים, שלוחת מעלות - דרך הגליל, מרכז מסחרי כפר ורדים, כפר ורדים, ישראל",טיפות חלב,טיפות חלב שלוחת מעלות,"32.999165,35.273116"
"כפר ורדים, מרכז מסחרי כפר ורדים, כפר ורדים, ישראל",טיפות חלב,טיפות חלב כפר ורדים מכבי,"32.996998,35.262801"
"כפר ורדים, מרכז מסחרי חדש  1, כפר ורדים, ישראל",בנקים,הבינלאומי כפר ורדים,"32.996998,35.262801"
"כפר ורדים, מרכז מסחרי חדש  1, כפר ורדים, ישראל",כספומטים,הבינלאומי כפר ורדים,"32.996998,35.262801"
"כפר ורדים, המרכז המסחרי, כפר ורדים, ישראל",טיפות חלב,טיפות חלב כפר ורדים כללית,"32.996998,35.262801"
"כפר ויתקין, רחוב ראשי כפר ויתקין, ישראל",סניפי דואר,דואר ישראל מושב כפר ויתקין,"32.380541,34.875308"
"כפר הרא""ה, ד.נ עמק חפר, כפר הרא""ה, ישראל",טיפות חלב,"טיפות חלב כפר הרא""""ה","32.391037,34.910917"
"כפר המכבי, כפר המכבי, כפר המכבי, ישראל",טיפות חלב,טיפות חלב כפר המכבי,"32.791804,35.114793"
"כפר המכבי,  כפר המכבי, ישראל",סניפי דואר,דואר ישראל כפר המכבי,"32.791804,35.114793"
"כפר החורש, ד.נ כפר החורש, כפר החורש, ישראל",טיפות חלב,טיפות חלב כפר החורש,"32.701549,35.272956"
"כפר גלעדי, ד.נ גליל עליון, כפר גלעדי, ישראל",טיפות חלב,טיפות חלב כפר גלעדי,"33.242078,35.574142"
"כעביה-טבאש-חג'אג'רה, כעבייה, כעביה-טבאש-חג'אג'רה, ישראל",טיפות חלב,טיפות חלב כעבייה,"32.750389,35.184"
"כסרא-סמיע, שכונת חיילים משוחררים, כסרא-סמיע, ישראל",טיפות חלב,טיפות חלב כיסרא ב',"32.96735,35.32429"
"כסרא-סמיע, סמיע, כסרא-סמיע, ישראל",טיפות חלב,טיפות חלב סמיע,"32.964661,35.303883"
"כסרא-סמיע, כסרא, כסרא-סמיע, ישראל",טיפות חלב,טיפות חלב כסרא,"32.963461,35.304434"
"כסיפה, שכ 13 , כסיפה, ישראל",טיפות חלב,טיפות חלב כסיפה ב,"31.23996,35.061568"
"כסיפה, כספיה  1, כסיפה, ישראל",כספומטים,מזרחי מסלקה,"31.248662,35.081676"
"כנות, כנות, כנות 24, ישראל",מרכולים,אושר עד אושר עד כנות,"31.046051,34.851612"
"כמאנה, כמאנה, כמאנה, ישראל",טיפות חלב,טיפות חלב כמאנה,"32.909311,35.336928"
"כוכב יעקב, ד.נ מזרח בנימין, כוכב יעקב, ישראל",טיפות חלב,טיפות חלב כוכב יעקב,"31.880152,35.242773"
"כוכב יעקב, אהבת ישראל 2, כוכב יעקב, ישראל",טיפות חלב,טיפות חלב תל ציון -  כוכב יעקב כללית,"31.880261,35.239958"
"כוכב יעקב, 19-אוג, כוכב יעקב, ישראל",טיפות חלב,טיפות חלב תל ציון לאומית,"31.880152,35.242773"
"כוכב יאיר, שד הדקלים צור יגאל , כוכב יאיר, ישראל",טיפות חלב,טיפות חלב צור יגאל,"32.215628,34.986187"
"כוכב יאיר, מרכז ספיר, כוכב יאיר, ישראל",טיפות חלב,טיפות חלב כוכב יאיר מכבי,"32.220749,34.993902"
"כוכב יאיר, מרכז מסחרי ספיר  0, כוכב יאיר, ישראל",בנקים,לאומי עסקים ספיר,"32.220749,34.993902"
"כוכב יאיר, מרכז מסחרי ספיר  0, כוכב יאיר, ישראל",כספומטים,לאומי עסקים ספיר,"32.220749,34.993902"
"כוכב יאיר, מרכז מסחרי כוכב יאיר, ישראל",סניפי דואר,דואר ישראל כוכב יאיר,"32.223754,34.999074"
"כוכב יאיר, מרכז מסחרי בתחנת דלק פז  0, כוכב יאיר, ישראל",בנקים,מסד שלוחת השרון,"32.220749,34.993902"
"כוכב יאיר, כוכב יאיר, בזלת 7, ישראל",מרפאות,כללית כוכב יאיר - צור יגאל,"32.218629,34.981566"
"כוכב יאיר, כוכב יאיר - צור יגאל - מרכז מסחרי, סניף לאומית, כוכב יאיר, ישראל",טיפות חלב,טיפות חלב כוכב יאיר לאומית,"32.223754,34.999074"
"כברי, ד.נ גליל מערבי, כברי, ישראל",טיפות חלב,טיפות חלב כברי,"33.020985,35.147007"
"כאוכב אבו אל-היג'א, שכונה צפונית כאוכב אבו אל-היג'א, ישראל",סניפי דואר,דואר ישראל כאוכב אבו אל היג'א,"32.83492,35.250072"
"כאוכב אבו אל-היג'א, כאוכב, כאוכב אבו אל-היג'א, ישראל",טיפות חלב,טיפות חלב כאוכב,"32.83492,35.250072"
"כאבול, כאבול, כאבול, ישראל",טיפות חלב,טיפות חלב כאבול א,"32.870011,35.20713"
"כאבול, כאבול, כאבול, ישראל",טיפות חלב,טיפות חלב כאבול ב,"32.870011,35.20713"
"כאבול, כאבול  0, כאבול, ישראל",כספומטים,מרכנתיל כאבול,"32.870011,35.20713"
"כאבול, כאבול  0, כאבול, ישראל",בנקים,מרכנתיל כאבול,"32.870011,35.20713"
"כאבול, הכניסה לכפר  0, כאבול, ישראל",בנקים,לאומי כאבול,"32.870011,35.20713"
"כאבול, הכניסה לכפר  0, כאבול, ישראל",כספומטים,לאומי כאבול,"32.870011,35.20713"
"כאבול,  כאבול, ישראל",סניפי דואר,דואר ישראל כאבול,"32.870011,35.20713"
"ירכא, קניון כנעאן  1, ירכא, ישראל",בנקים,הפועלים ירכא,"32.953492,35.21199"
"ירכא, קניון כנעאן  1, ירכא, ישראל",כספומטים,הפועלים ירכא,"32.953492,35.21199"
"ירכא, מרכז המזון ירכא כניסת שוק  1, ירכא, ישראל",כספומטים,ירושלים חיפה,"32.953492,35.21199"
"ירכא, כביש ירכא אבו סנאן מתחם של מרכז גיל הרך, ירכא, ישראל",טיפות חלב,טיפות חלב ירכא א + ב,"32.95803,35.171969"
"ירכא, ירכא, ירכא 1, ישראל",מרכולים,מרכזה ירכא,"32.953492,35.21199"
"ירכא, ירכא, אזור התעשייה 1, ישראל",מרכולים,מרכזה ירכא,"32.953492,35.21199"
"ירכא, ירכא,  1, ישראל",מרפאות,מאוחדת כפר ירכא -ישן,"32.953492,35.21199"
"ירכא, ירכא,  0, ישראל",מרפאות,כללית כפר ירכא,"32.953492,35.21199"
"ירכא, דאהר סנטר ירכא  0, ירכא, ישראל",כספומטים,מרכנתיל ירכא,"32.953492,35.21199"
"ירכא, דאהר סנטר ירכא  0, ירכא, ישראל",בנקים,מרכנתיל ירכא,"32.953492,35.21199"
"ירכא, גאיה סנטר  0, ירכא, ישראל",בנקים,לאומי ירכא,"32.953492,35.21199"
"ירכא, גאיה סנטר  0, ירכא, ישראל",כספומטים,לאומי ירכא,"32.953492,35.21199"
"ירושלים, תפארת ישראל  26, ירושלים, ישראל",בנקים,מזרחי עיר העתיקה,"31.775431,35.232025"
"ירושלים, תפארת ישראל  26, ירושלים, ישראל",כספומטים,מזרחי עיר העתיקה,"31.775431,35.232025"
"ירושלים, תורן חיים 45, ירושלים, ישראל",טיפות חלב,טיפות חלב פסגת זאב,"31.81984,35.244711"
"ירושלים, ת. דואר 12000 קרית הדסה  0, ירושלים, ישראל",בנקים,יהב שלוחה בהדסה,"31.776883,35.222435"
"ירושלים, שרי ישראל  15, ירושלים, ישראל",כספומטים,מזרחי קרית העסקים ירושלים,"31.789145,35.206145"
"ירושלים, שרי ישראל  15, ירושלים, ישראל",בנקים,מזרחי קרית העסקים ירושלים,"31.789145,35.206145"
"ירושלים, שמחת כהן 3, ירושלים, ישראל",טיפות חלב,טיפות חלב הר חומה,"31.720331,35.227834"
"ירושלים, שמואל הנביא  101, ירושלים, ישראל",כספומטים,ירושלים ירושלים ראשי,"31.796175,35.219124"
"ירושלים, שמואל בייט  12, ירושלים, ישראל",בנקים,מזרחי שערי צדק,"31.773053,35.185649"
"ירושלים, שמואל ביט  12, ירושלים, ישראל",כספומטים,מזרחי שערי צדק,"31.773053,35.185649"
"ירושלים, שמגר 6, ירושלים, ישראל",טיפות חלב,טיפות חלב כדורי,"31.791573,35.209094"
"ירושלים, שמגר  21, ירושלים, ישראל",כספומטים,ירושלים גאולה-רוממה,"31.794574,35.207849"
"ירושלים, שמגר  21, ירושלים, ישראל",בנקים,ירושלים גאולה-רוממה,"31.794574,35.207849"
"ירושלים, שמגר  16, ירושלים, ישראל",כספומטים,הבינלאומי פאגי רב שפע,"31.794748,35.208407"
"ירושלים, שמגר  16, ירושלים, ישראל",בנקים,הבינלאומי פאגי רב שפע,"31.794748,35.208407"
"ירושלים, שמגר  10, ירושלים, ישראל",בנקים,מזרחי רוממה,"31.792685,35.208887"
"ירושלים, שמגר  10, ירושלים, ישראל",כספומטים,מזרחי רוממה,"31.792685,35.208887"
"ירושלים, שמאי  16, ירושלים, ישראל",בנקים,מסד ירושלים,"31.781119,35.219615"
"ירושלים, שמאי  16, ירושלים, ישראל",כספומטים,מסד ירושלים,"31.781119,35.219615"
"ירושלים, שמאי  10, ירושלים, ישראל",כספומטים,מזרחי שמאי,"31.781054,35.218544"
"ירושלים, שמאי  10, ירושלים, ישראל",בנקים,מזרחי שמאי,"31.781054,35.218544"
"ירושלים, שכונת אל עבסיה, ירושלים, ישראל",טיפות חלב,טיפות חלב סילואן,"31.776883,35.222435"
"ירושלים, שטנר 5 ירושלים, ישראל",סניפי דואר,דואר ישראל שטנר,"31.786483,35.189893"
"ירושלים, שח""ל 83, ירושלים, ישראל",טיפות חלב,טיפות חלב גבעת מרדכי,"31.766208,35.194013"
"ירושלים, שדרות הרצל  106, ירושלים, ישראל",בנקים,לאומי בית הכרם,"31.779239,35.186894"
"ירושלים, שדרות הרצל  106, ירושלים, ישראל",כספומטים,לאומי בית הכרם,"31.779239,35.186894"
"ירושלים, שדרות הרצל  106, ירושלים, ישראל",בנקים,לאומי בית וגן,"31.779239,35.186894"
"ירושלים, שדרות הנשיא השישי פינת דרך רבין  1, ירושלים, ישראל",כספומטים,ירושלים ירושלים ראשי,"31.782997,35.201805"
"ירושלים, שד' משה דיין  166, ירושלים, ישראל",כספומטים,יהב קדם,"31.820321,35.239998"
"ירושלים, שד' משה דיין  166, ירושלים, ישראל",כספומטים,יהב פסגת זאב,"31.820321,35.239998"
"ירושלים, שד' משה דיין  166, ירושלים, ישראל",בנקים,יהב פסגת זאב,"31.820321,35.239998"
"ירושלים, שד' משה דיין  106, ירושלים, ישראל",בנקים,הפועלים פסגת זאב,"31.824162,35.237204"
"ירושלים, שד' משה דיין  106, ירושלים, ישראל",כספומטים,הפועלים פסגת זאב,"31.824162,35.237204"
"ירושלים, שד' יצחק רבין  10, ירושלים, ישראל",כספומטים,דיסקונט הלאום,"31.782767,35.204199"
"ירושלים, שד' יצחק רבין  10, ירושלים, ישראל",בנקים,דיסקונט הלאום,"31.782767,35.204199"
"ירושלים, שד' יצחק רבין  10, ירושלים, ישראל",כספומטים,יהב משכנות האומה,"31.782767,35.204199"
"ירושלים, שד' יצחק רבין  10, ירושלים, ישראל",בנקים,יהב משכנות האומה,"31.782767,35.204199"
"ירושלים, שד' גולדה מאיר  255, ירושלים, ישראל",כספומטים,מרכנתיל רמות,"31.797475,35.217682"
"ירושלים, שד' גולדה מאיר  255, ירושלים, ישראל",בנקים,מרכנתיל רמות,"31.797475,35.217682"
"ירושלים, שד נוה יעקב 611 ירושלים, ישראל",סניפי דואר,דואר ישראל נוה יעקב,"31.83797,35.236792"
"ירושלים, שד דיין משה 106 ירושלים, ישראל",סניפי דואר,דואר ישראל פסגת זאב,"31.824162,35.237204"
"ירושלים, שג'רת אל דור 10, ירושלים, ישראל",טיפות חלב,טיפות חלב בית חנינה,"31.826027,35.228428"
"ירושלים, שבטי ישראל  35, ירושלים, ישראל",כספומטים,מרכנתיל שבטי ישראל,"31.785644,35.225021"
"ירושלים, ש עממי גואטמלה 20, ירושלים, ישראל",טיפות חלב,טיפות חלב קרית יובל,"31.755819,35.177832"
"ירושלים, רמב""ן  21, ירושלים, ישראל",בנקים,לאומי רחביה,"31.774503,35.215512"
"ירושלים, רמב""ן  21, ירושלים, ישראל",כספומטים,לאומי רחביה,"31.774503,35.215512"
"ירושלים, רח' יפו  121, ירושלים, ישראל",כספומטים,דיסקונט מרכז קופות מחנה יהודה,"31.78566,35.212068"
"ירושלים, רח' יפו  121, ירושלים, ישראל",בנקים,דיסקונט שלוחת מרכז כלל,"31.78566,35.212068"
"ירושלים, קרן היסוד  5, ירושלים, ישראל",כספומטים,דיסקונט רחביה,"31.775074,35.218324"
"ירושלים, קרן היסוד  32, ירושלים, ישראל",כספומטים,הבינלאומי יובנק - ירושלים,"31.771991,35.221737"
"ירושלים, קרן היסוד  32, ירושלים, ישראל",בנקים,הבינלאומי רחביה,"31.771991,35.221737"
"ירושלים, קרן היסוד  32, ירושלים, ישראל",בנקים,הבינלאומי יובנק - ירושלים,"31.771991,35.221737"
"ירושלים, צפת 23, ירושלים, ישראל",טיפות חלב,טיפות חלב צפת,"31.779501,35.211015"
"ירושלים, צומת גבעת זאב תחנת דלק  0, ירושלים, ישראל",כספומטים,ירושלים בנקאות פרטית,"31.861189,35.167252"
"ירושלים, צביה ויצחק 800 ירושלים, ישראל",סניפי דואר,דואר ישראל גילה,"31.730318,35.188118"
"ירושלים, פארן ,  5, ירושלים, ישראל",כספומטים,"מזרחי רמת אשכול, י-ם","31.800913,35.228796"
"ירושלים, פארן ,  5, ירושלים, ישראל",בנקים,"מזרחי רמת אשכול, י-ם","31.800913,35.228796"
"ירושלים, פארן  9, ירושלים, ישראל",בנקים,דיסקונט רמת אשכול,"31.800801,35.228072"
"ירושלים, פארן  9, ירושלים, ישראל",כספומטים,דיסקונט רמת אשכול,"31.800801,35.228072"
"ירושלים, פארן  15, ירושלים, ישראל",בנקים,לאומי רמות אשכול,"31.800715,35.226892"
"ירושלים, פארן  15, ירושלים, ישראל",כספומטים,לאומי רמות אשכול,"31.800715,35.226892"
"ירושלים, פארן  13, ירושלים, ישראל",כספומטים,הפועלים רמות אשכול,"31.801103,35.226875"
"ירושלים, עמרם גאון 7, ירושלים, ישראל",טיפות חלב,טיפות חלב גבעת שאול,"31.790694,35.192935"
"ירושלים, עמק רפאים  43, ירושלים, ישראל",כספומטים,ירושלים ירושלים ראשי,"31.762517,35.21856"
"ירושלים, עמוס  12, ירושלים, ישראל",כספומטים,הבינלאומי פאגי ירושלים,"31.789747,35.216007"
"ירושלים, עמוס  12, ירושלים, ישראל",בנקים,הבינלאומי פאגי ירושלים,"31.789747,35.216007"
"ירושלים, עלי אבן אבו טאלב  3, ירושלים, ישראל",כספומטים,לאומי מזרח ירושלים,"31.788275,35.230032"
"ירושלים, עלי אבן אבו טאלב  3, ירושלים, ישראל",בנקים,לאומי מזרח ירושלים,"31.788275,35.230032"
"ירושלים, עטרות ירושלים, ישראל",סניפי דואר,דואר ישראל קניון רמי לוי עטרות,"31.85425,35.217177"
"ירושלים, עזה  38, ירושלים, ישראל",בנקים,הפועלים רחביה,"31.772317,35.213639"
"ירושלים, עזה  38, ירושלים, ישראל",כספומטים,הפועלים רחביה,"31.772317,35.213639"
"ירושלים, עגנון  20, ירושלים, ישראל",כספומטים,לאומי גבעת אורנים,"31.776883,35.222435"
"ירושלים, עגנון  20, ירושלים, ישראל",בנקים,לאומי גבעת אורנים,"31.776883,35.222435"
"ירושלים, סנהדריה מורחבת 102, ירושלים, ישראל",טיפות חלב,טיפות חלב סנהדריה,"31.801798,35.216002"
"ירושלים, סורוצקין 40, ירושלים, ישראל",טיפות חלב,טיפות חלב קרית הילד,"31.798733,35.20734"
"ירושלים, סולטן סולימן  19, ירושלים, ישראל",כספומטים,דיסקונט מזרח ירושלים,"31.782884,35.232637"
"ירושלים, נטר 42, ירושלים, ישראל",טיפות חלב,טיפות חלב מעלות דפנה,"31.794641,35.224552"
"ירושלים, נור אל-דין  8, ירושלים, ישראל",בנקים,הפועלים מזרח ירושלים,"31.776883,35.222435"
